Sender,Total Burned (MOOJ),Rank
5NZGSF2QWPOOS7BWMCJ34GBN5A3Q2U2ATBPF6XJQFFHLQTJLVDPUTT2PW4,753.947097,202
5O6EFTZWQN2WISBUK77RBJIEWZBDJS3WSPQVU3OTG6LDAQJGN3RRTDJPRU,753.947097,203
B7EBOAUOILBM4GXBDC7GJFHJWDARS6G2GLR5VID4INOXRKL4TO333Q3KZE,753.947097,204
XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,741.32571779,205
LY37UBDSJUXZ3SXMVAICFLCDIKVO6GZO4UXFVITND4ZXTO2SFUVNUEHPME,740.5897524,206
ANDYP2FHLKDSVNRGOA73COG5XGARURO4MLNR6NMFOUEAYTOL6D4NPAP36Q,729.49890661,207
UEWQBS2RIHZ4TTU4HFX556MHMEXHCBXKVMSFZMJHFDZVDXUK3GSVDBJ5VE,706.98353978,208
IFWXPEI3KAP6EAF66FJ57JJALSW5EHQ3PELMPP7NUNWYAWYKYZB3J6H3VQ,703.5864164,209
2J7CB44FIMXTRF5MSZ4RAHHBCNJX7PA2KF5L25CKOKWTEDLUDP4XBOZCAA,697.51800493,210
2MAGGJFPH5KQKM24DQKXCVRB5VECBLLASDSGKTSUWO5RTKYBP63P7XYEVA,695.19052329,211
